상권_코드,filename,lat,lng,heading,success
3120004,37.575956_126.980099_178.jpg,37.575956,126.980099,178,True
3120003,37.571617_126.975481_180.jpg,37.571617,126.975481,180,True
3120003,37.571617_126.975481_360.jpg,37.571617,126.975481,360,True
3120003,37.571616_126.975945_181.jpg,37.571616,126.975945,181,True
3120003,37.571616_126.975945_1.jpg,37.571616,126.975945,1,True
3120003,37.571614_126.976237_181.jpg,37.571614,126.976237,181,True
3120003,37.571614_126.976237_1.jpg,37.571614,126.976237,1,True
3120003,37.573696_126.976996_269.jpg,37.573696,126.976996,269,True
3120003,37.573696_126.976996_89.jpg,37.573696,126.976996,89,True
3120003,37.573318_126.977006_269.jpg,37.573318,126.977006,269,True
3120003,37.573318_126.977006_89.jpg,37.573318,126.977006,89,True
3120003,37.574006_126.976954_76.jpg,37.574006,126.976954,76,True
3120003,37.574006_126.976954_256.jpg,37.574006,126.976954,256,True
3120003,37.572856_126.977020_268.jpg,37.572856,126.97702,268,True
3120003,37.572856_126.977020_88.jpg,37.572856,126.97702,88,True
3120003,37.572307_126.977040_268.jpg,37.572307,126.97704,268,True
3120003,37.572307_126.977040_88.jpg,37.572307,126.97704,88,True
3120003,37.572025_126.977051_269.jpg,37.572025,126.977051,269,True
3120003,37.572025_126.977051_89.jpg,37.572025,126.977051,89,True
3120003,37.571287_126.977066_271.jpg,37.571287,126.977066,271,True
3120003,37.571287_126.977066_91.jpg,37.571287,126.977066,91,True
3120003,37.571580_126.977064_89.jpg,37.57158,126.977064,89,True
3120003,37.571580_126.977064_269.jpg,37.57158,126.977064,269,True
3120003,37.570970_126.977041_276.jpg,37.57097,126.977041,276,True
3120003,37.570970_126.977041_96.jpg,37.57097,126.977041,96,True
3120003,37.570631_126.976998_276.jpg,37.570631,126.976998,276,True
3120003,37.570631_126.976998_96.jpg,37.570631,126.976998,96,True
3120003,37.570058_126.973026_179.jpg,37.570058,126.973026,179,True
3120003,37.570058_126.973026_359.jpg,37.570058,126.973026,359,True
3120003,37.570070_126.973979_179.jpg,37.57007,126.973979,179,True
3120003,37.570070_126.973979_359.jpg,37.57007,126.973979,359,True
3120002,37.577941_126.972040_146.jpg,37.577941,126.97204,146,True
3120002,37.577941_126.972040_326.jpg,37.577941,126.97204,326,True
3120002,37.578265_126.973883_353.jpg,37.578265,126.973883,353,True
3120002,37.578265_126.973883_173.jpg,37.578265,126.973883,173,True
3120002,37.578212_126.973430_352.jpg,37.578212,126.97343,352,True
3120002,37.578212_126.973430_172.jpg,37.578212,126.97343,172,True
3120002,37.578105_126.972702_169.jpg,37.578105,126.972702,169,True
3120002,37.578105_126.972702_349.jpg,37.578105,126.972702,349,True
3120002,37.578172_126.973147_167.jpg,37.578172,126.973147,167,True
3120002,37.578172_126.973147_347.jpg,37.578172,126.973147,347,True
3120002,37.579404_126.968799_178.jpg,37.579404,126.968799,178,True
3120002,37.579404_126.968799_358.jpg,37.579404,126.968799,358,True
3120002,37.575880_126.973314_9.jpg,37.57588,126.973314,9,True
3120002,37.575880_126.973314_189.jpg,37.57588,126.973314,189,True
3120002,37.575817_126.974112_5.jpg,37.575817,126.974112,5,True
3120002,37.575817_126.974112_185.jpg,37.575817,126.974112,185,True
3120001,37.566615_126.964504_144.jpg,37.566615,126.964504,144,True
3120001,37.566615_126.964504_324.jpg,37.566615,126.964504,324,True
3120001,37.567143_126.964172_170.jpg,37.567143,126.964172,170,True
3120001,37.567143_126.964172_350.jpg,37.567143,126.964172,350,True
3120001,37.567381_126.965788_333.jpg,37.567381,126.965788,333,True
3120001,37.567381_126.965788_153.jpg,37.567381,126.965788,153,True
3120001,37.566845_126.964887_140.jpg,37.566845,126.964887,140,True
3120001,37.566845_126.964887_320.jpg,37.566845,126.964887,320,True
3120001,37.566548_126.965017_234.jpg,37.566548,126.965017,234,True
3120001,37.566548_126.965017_54.jpg,37.566548,126.965017,54,True
3120001,37.565514_126.965421_341.jpg,37.565514,126.965421,341,True
3120001,37.565514_126.965421_161.jpg,37.565514,126.965421,161,True
3120001,37.564540_126.963940_125.jpg,37.56454,126.96394,125,True
3120001,37.564540_126.963940_305.jpg,37.56454,126.96394,305,True
3120001,37.565051_126.964335_110.jpg,37.565051,126.964335,110,True
3120001,37.565051_126.964335_290.jpg,37.565051,126.964335,290,True
3110033,37.576022_127.015657_183.jpg,37.576022,127.015657,183,True
3110033,37.576022_127.015657_3.jpg,37.576022,127.015657,3,True
3110033,37.578096_127.015441_164.jpg,37.578096,127.015441,164,True
3110033,37.578096_127.015441_344.jpg,37.578096,127.015441,344,True
3110033,37.576499_127.016839_83.jpg,37.576499,127.016839,83,True
3110033,37.576499_127.016839_263.jpg,37.576499,127.016839,263,True
3110033,37.575549_127.016766_356.jpg,37.575549,127.016766,356,True
